golf_australia_url,golf_australia_name,golf_australia_course_info,course_id,holes
https://www.golf.org.au/barmera-golf-club/,Barmera Golf Club,"Golf Course ID: 50901,  18 hole",50901,18
https://www.golf.org.au/barossa-valley-golf-club/,Barossa Valley Golf Club,"Golf Course ID: 50502,  18 hole",50502,18
https://www.golf.org.au/barnwell-park-golf-club/,Barnwell Park Golf Club,"Golf Course ID: 20303,  18 hole",20303,18
https://www.golf.org.au/balyang-par-3-golf-course/,Balyang Par 3 Golf Course,9 hole,N/A,9
https://www.golf.org.au/balranald-golf-club/,Balranald Golf Club,"Golf Course ID: 31501,  9 hole",31501,9
https://www.golf.org.au/bandiana-army-golf-club/,Bandiana Army Golf Club,"Golf Course ID: 31401,  18 hole",31401,18
https://www.golf.org.au/barnawartha-golf-club/,Barnawartha Golf Club,"Golf Course ID: 31402,  9 hole",31402,9
https://www.golf.org.au/ballidu-golf-club/,Ballidu Golf Club,"Golf Course ID: 66201,  18 hole",66201,18
https://www.golf.org.au/balgowlah-golf-club/,Balgowlah Golf Club,"Golf Course ID: 20202,  9 hole",20202,9
https://www.golf.org.au/swan-valley-oasis-resort/,Swan Valley Oasis Resort,0 hole,N/A,0
https://www.golf.org.au/west-beach-parks-golf/,West Beach Parks Golf,36 hole,N/A,36
https://www.golf.org.au/chelsea-public-golf-course/,Chelsea Public Golf Course,"Golf Course ID: 30202,  9 hole",30202,9
https://www.golf.org.au/a-maze'n-things/,A Maze'N Things (VIC),0 hole,N/A,0
